attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
deeplift,deeplift,baseline,baseline,100,0.010091956692734163,0.010091956692734163,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.2207626195949267,0.2207626195949267,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.205450633191579,2.205450633191579,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.3537763178524878,1.3537763178524878,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,100,0.015371074565341399,0.010091956692734163,0.005279117872607234,0.005134103708332786,1.2579150016678854e-05,72,28,100,better,paired_sign_test,0.32315217039118815,0.2207626195949267,0.10238955079626136,0.10382129347070931,2.5408533354923057e-16,89,11,100,better,paired_sign_test,3.71990004996125,2.205450633191579,1.5144494167696712,1.1014633317709879,0.0008737198369123723,67,33,100,better,paired_sign_test,1.3000946543512262,1.3537763178524878,-0.05368166350126149,0.33570701678561987,0.0008737198369123723,67,33,100,worse,paired_sign_test
deeplift,deeplift,ica_n_components_1,ica,100,0.014738680533405572,0.010091956692734163,0.004646723840671411,0.004445147404389307,4.69241261264223e-06,73,27,100,better,paired_sign_test,0.27003175353026027,0.2207626195949267,0.04926913393533355,0.055385233616777926,5.636282034205403e-07,75,25,100,better,paired_sign_test,3.973553861442085,2.205450633191579,1.7681032282505067,1.806310222624044,0.012032975725363477,63,37,100,better,paired_sign_test,1.507918209356336,1.3537763178524878,0.15414189150384794,0.22310515314754598,0.006637120515926126,64,36,100,better,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,100,0.0137213005647764,0.010091956692734163,0.0036293438720422368,0.0041572904762276685,0.0017899303914868526,66,34,100,better,paired_sign_test,0.2742836113185781,0.2207626195949267,0.053520991723651344,0.06364086734488714,7.850139645593671e-05,70,30,100,better,paired_sign_test,3.258550592556582,2.205450633191579,1.0530999593650034,0.4242131634952905,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.4953600839759082,1.3537763178524878,0.14158376612342033,0.21179444626421473,0.006637120515926126,64,36,100,better,paired_sign_test
deeplift,deeplift,nmf_n_components_1,nmf,100,0.013436769662811196,0.010091956692734163,0.0033448129700770347,0.0032018481464316947,0.0004087771674268152,68,32,100,better,paired_sign_test,0.2774793964036504,0.2207626195949267,0.05671677680872364,0.05269861861723511,1.1159089057251951e-09,80,20,100,better,paired_sign_test,3.1590693757836616,2.205450633191579,0.9536187425920832,1.1869666027152843,0.3682016173266962,55,45,100,no_clear_difference,paired_sign_test,1.5829246971802775,1.3537763178524878,0.22914837932778934,0.2124817684254663,4.69241261264223e-06,73,27,100,better,paired_sign_test
deeplift,deeplift,pca_n_components_1,pca,100,0.014061068738100898,0.010091956692734163,0.0039691120453667385,0.0043809373581661865,0.0004087771674268152,68,32,100,better,paired_sign_test,0.2710298337821952,0.2207626195949267,0.05026721418726849,0.045105389865284756,5.636282034205403e-07,75,25,100,better,paired_sign_test,3.245417720115003,2.205450633191579,1.0399670869234243,0.6155810690794474,0.2712530240738347,56,44,100,no_clear_difference,paired_sign_test,1.5269312223517801,1.3537763178524878,0.1731549044992922,0.19780814285757353,0.006637120515926126,64,36,100,better,paired_sign_test
gradient_shap,gradient_shap,baseline,baseline,100,0.009406955883125854,0.009406955883125854,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.20082462818491362,0.20082462818491362,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.79852730041829,1.79852730041829,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.1741323053258759,1.1741323053258759,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,100,0.01507818362237363,0.009406955883125854,0.005671227739247776,0.004819034954207675,5.5135807758500534e-08,77,23,100,better,paired_sign_test,0.318037394967032,0.20082462818491362,0.11721276678211831,0.1157111054220995,2.726143732806038e-20,93,7,100,better,paired_sign_test,3.954689587311575,1.79852730041829,2.156162286893286,2.4479869210788814,0.0008737198369123723,67,33,100,better,paired_sign_test,1.659937928738716,1.1741323053258759,0.48580562341284006,0.5348262765274178,2.6059358186561008e-12,84,16,100,better,paired_sign_test
gradient_shap,gradient_shap,ica_n_components_1,ica,100,0.013465057286168402,0.009406955883125854,0.004058101403042548,0.0024403651507020835,0.0004087771674268152,68,32,100,better,paired_sign_test,0.2754552984334511,0.20082462818491362,0.07463067024853756,0.06749529373004831,1.3129815522035853e-14,87,13,100,better,paired_sign_test,2.790395904070894,1.79852730041829,0.991868603652605,1.371344349217303,0.08862608011406758,59,41,100,no_clear_difference,paired_sign_test,1.4527495039001033,1.1741323053258759,0.2786171985742276,0.3232355811912484,5.636282034205403e-07,75,25,100,better,paired_sign_test
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,100,0.01452121336059558,0.009406955883125854,0.005114257477469727,0.003687737018400237,6.147806615047977e-11,82,18,100,better,paired_sign_test,0.2598504673870095,0.20082462818491362,0.05902583920209584,0.06394752190133342,1.1159089057251951e-09,80,20,100,better,paired_sign_test,3.3991189850045656,1.79852730041829,1.6005916845862758,1.2591218555166674,0.08862608011406758,59,41,100,no_clear_difference,paired_sign_test,1.4079078315638947,1.1741323053258759,0.2337755262380189,0.2573186814459756,4.69241261264223e-06,73,27,100,better,paired_sign_test
