attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
deeplift,deeplift,baseline,baseline,6,0.01986275894572058,0.01986275894572058,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.2830174485930909,0.2830174485930909,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.430343891104274,2.430343891104274,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.8289719257759968,0.8289719257759968,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,6,0.028456465496245257,0.01986275894572058,0.008593706550524686,0.006353579091043449,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3778139113310511,0.2830174485930909,0.09479646273796023,0.10780242359837458,0.03125,6,0,6,better,paired_sign_test,5.423731282659186,2.430343891104274,2.9933873915549127,4.816062643249902,0.21875,5,1,6,no_clear_difference,paired_sign_test,1.1839696755522888,0.8289719257759968,0.3549977497762919,0.41836775084662503,0.21875,5,1,6,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_3,factor_analysis,6,0.011756236764601224,0.01986275894572058,-0.008106522181119357,-0.009884171365484218,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.18167881117442763,0.2830174485930909,-0.10133863741866324,-0.10816594508656299,0.21875,1,5,6,no_clear_difference,paired_sign_test,-0.04654185739352087,2.430343891104274,-2.476885748497794,-0.24321129497203642,1.0,3,3,6,no_clear_difference,paired_sign_test,0.43323360716097,0.8289719257759968,-0.3957383186150268,-0.49488946040853143,0.21875,1,5,6,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_5,factor_analysis,6,0.009960037624010333,0.01986275894572058,-0.009902721321710243,-0.00751344817476533,0.03125,0,6,6,worse,paired_sign_test,0.1567936116244218,0.2830174485930909,-0.1262238369686691,-0.13267951323341876,0.21875,1,5,6,no_clear_difference,paired_sign_test,1.377135393361561,2.430343891104274,-1.0532084977427127,-2.8386798547743375,0.21875,1,5,6,no_clear_difference,paired_sign_test,0.3858803650854122,0.8289719257759968,-0.4430915606905847,-0.503343602450263,0.21875,1,5,6,no_clear_difference,paired_sign_test
deeplift,deeplift,ica_n_components_1,ica,6,0.02901937298104247,0.01986275894572058,0.009156614035321899,0.0023100062230041445,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3371713462859051,0.2830174485930909,0.05415389769281414,0.049160307065832604,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.7990011194848109,2.430343891104274,-1.6313427716194628,-0.8466247531577229,0.6875,2,4,6,no_clear_difference,paired_sign_test,1.0240846286981131,0.8289719257759968,0.19511270292211633,0.2108269509000672,0.21875,5,1,6,no_clear_difference,paired_sign_test
deeplift,deeplift,ica_n_components_3,ica,6,0.011557911210497021,0.01986275894572058,-0.008304847735223555,-0.005650375375355196,0.03125,0,6,6,worse,paired_sign_test,0.1694156428085606,0.2830174485930909,-0.11360180578453027,-0.11269941564248244,0.21875,1,5,6,no_clear_difference,paired_sign_test,0.005043105630746683,2.430343891104274,-2.4253007854735267,-3.476603098892534,0.21875,1,5,6,no_clear_difference,paired_sign_test,0.48875031807664376,0.8289719257759968,-0.3402216076993531,-0.4440868999709411,0.21875,1,5,6,no_clear_difference,paired_sign_test
deeplift,deeplift,ica_n_components_5,ica,6,0.010678785333745361,0.01986275894572058,-0.009183973611975217,-0.007874539100237637,0.03125,0,6,6,worse,paired_sign_test,0.15162723891044316,0.2830174485930909,-0.13139020968264772,-0.16158802372754888,0.21875,1,5,6,no_clear_difference,paired_sign_test,0.5139872915469503,2.430343891104274,-1.9163565995573235,-4.663162248713899,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.21551740773985986,0.8289719257759968,-0.6134545180361369,-0.5973958988083615,0.21875,1,5,6,no_clear_difference,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,6,0.018915638063195347,0.01986275894572058,-0.0009471208825252309,0.002423789171685824,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3024402033043105,0.2830174485930909,0.019422754711219573,-0.014914772123093542,1.0,3,3,6,no_clear_difference,paired_sign_test,1.0659463026249167,2.430343891104274,-1.3643975884793569,-1.813562367355557,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.8635822796337939,0.8289719257759968,0.03461035385779704,0.007694846492888374,1.0,3,3,6,no_clear_difference,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_3,kernel_pca,6,0.013380504984154879,0.01986275894572058,-0.006482253961565698,-0.008258060678981483,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.2149605490307178,0.2830174485930909,-0.06805689956237314,-0.06599710477870746,0.21875,1,5,6,no_clear_difference,paired_sign_test,2.2763129229974637,2.430343891104274,-0.15403096810681008,-1.0033128153242983,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.6724543778372531,0.8289719257759968,-0.15651754793874365,-0.0686749119676493,0.21875,1,5,6,no_clear_difference,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_5,kernel_pca,6,0.015707798612193416,0.01986275894572058,-0.004154960333527161,-0.002676405966768816,1.0,3,3,6,no_clear_difference,paired_sign_test,0.22932939842642652,0.2830174485930909,-0.05368805016666437,-0.03091115453264899,0.03125,0,6,6,worse,paired_sign_test,1.2547891207391233,2.430343891104274,-1.1755547703651503,-2.5575161559394974,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.6139118768919523,0.8289719257759968,-0.21506004888404462,-0.17280367791748794,0.21875,1,5,6,no_clear_difference,paired_sign_test
