attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
deeplift,deeplift,baseline,baseline,6,0.01986275894572058,0.01986275894572058,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.2830174485930909,0.2830174485930909,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,2.430343891104274,2.430343891104274,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.8289719257759968,0.8289719257759968,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,6,0.028456465496245257,0.01986275894572058,0.008593706550524686,0.006353579091043449,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3778139113310511,0.2830174485930909,0.09479646273796023,0.10780242359837458,0.03125,6,0,6,better,paired_sign_test,5.423731282659186,2.430343891104274,2.9933873915549127,4.816062643249902,0.21875,5,1,6,no_clear_difference,paired_sign_test,1.1839696755522888,0.8289719257759968,0.3549977497762919,0.41836775084662503,0.21875,5,1,6,no_clear_difference,paired_sign_test
deeplift,deeplift,ica_n_components_1,ica,6,0.02901937298104247,0.01986275894572058,0.009156614035321899,0.0023100062230041445,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3371713462859051,0.2830174485930909,0.05415389769281414,0.049160307065832604,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.7990011194848109,2.430343891104274,-1.6313427716194628,-0.8466247531577229,0.6875,2,4,6,no_clear_difference,paired_sign_test,1.0240846286981131,0.8289719257759968,0.19511270292211633,0.2108269509000672,0.21875,5,1,6,no_clear_difference,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,6,0.018915638063195347,0.01986275894572058,-0.0009471208825252309,0.002423789171685824,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.3024402033043105,0.2830174485930909,0.019422754711219573,-0.014914772123093542,1.0,3,3,6,no_clear_difference,paired_sign_test,1.0659463026249167,2.430343891104274,-1.3643975884793569,-1.813562367355557,0.6875,2,4,6,no_clear_difference,paired_sign_test,0.8635822796337939,0.8289719257759968,0.03461035385779704,0.007694846492888374,1.0,3,3,6,no_clear_difference,paired_sign_test
deeplift,deeplift,nmf_n_components_1,nmf,6,0.029928190007605635,0.01986275894572058,0.01006543106188506,0.003069958086570987,1.0,3,3,6,no_clear_difference,paired_sign_test,0.3872106717876081,0.2830174485930909,0.10419322319451718,0.12594081080282965,0.03125,6,0,6,better,paired_sign_test,3.139153847303811,2.430343891104274,0.7088099561995377,0.21618480276354402,1.0,3,3,6,no_clear_difference,paired_sign_test,1.1392755810252868,0.8289719257759968,0.31030365524929,0.3766978621057653,0.21875,5,1,6,no_clear_difference,paired_sign_test
deeplift,deeplift,pca_n_components_1,pca,6,0.022279579320373805,0.01986275894572058,0.0024168203746532287,0.004914369682242674,0.6875,4,2,6,no_clear_difference,paired_sign_test,0.284156360844701,0.2830174485930909,0.001138912251610109,0.002340371104855049,1.0,3,3,6,no_clear_difference,paired_sign_test,4.660891366167802,2.430343891104274,2.2305474750635277,2.2623104256980526,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.8468859931545643,0.8289719257759968,0.017914067378567305,-0.0291922794999267,1.0,3,3,6,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,baseline,baseline,6,0.014711081095331905,0.014711081095331905,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.2539324478864184,0.2539324478864184,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,-0.6407556620097393,-0.6407556620097393,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.6938803970362891,0.6938803970362891,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,6,0.022699907376598452,0.014711081095331905,0.007988826281266547,0.0068485589085678115,0.03125,6,0,6,better,paired_sign_test,0.32983994378318626,0.2539324478864184,0.07590749589676792,0.06969892316671705,0.03125,6,0,6,better,paired_sign_test,3.5173736722958515,-0.6407556620097393,4.158129334305592,3.6031025207422904,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.6117820439335722,0.6938803970362891,-0.08209835310271683,0.30771569190609077,0.21875,5,1,6,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,ica_n_components_1,ica,6,0.02463824507840316,0.014711081095331905,0.009927163983071252,0.0038069990547628966,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.2958983660604145,0.2539324478864184,0.04196591817399612,0.04099741703811506,0.6875,4,2,6,no_clear_difference,paired_sign_test,7.0594339980142236,-0.6407556620097393,7.700189660023963,7.992139840561839,0.03125,6,0,6,better,paired_sign_test,0.9328310109796885,0.6938803970362891,0.23895061394339945,0.11065054297710264,0.6875,4,2,6,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,6,0.018838299582219883,0.014711081095331905,0.004127218486887978,0.004215911597383354,0.03125,6,0,6,better,paired_sign_test,0.2847739037007045,0.2539324478864184,0.030841455814286132,0.057243142059947016,0.6875,4,2,6,no_clear_difference,paired_sign_test,5.952814143594396,-0.6407556620097393,6.593569805604136,6.94209797497424,0.21875,5,1,6,no_clear_difference,paired_sign_test,0.9161155576875489,0.6938803970362891,0.22223516065126003,0.2867867547833953,0.6875,4,2,6,no_clear_difference,paired_sign_test
