attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
deeplift,deeplift,baseline,baseline,100,0.011319262125984468,0.011319262125984468,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.14444812173201751,0.14444812173201751,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.7072159867716876,1.7072159867716876,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.9617037937652961,0.9617037937652961,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,100,0.015609648977425545,0.011319262125984468,0.004290386851441078,0.0034830472295313566,3.2160015295666335e-05,71,29,100,better,paired_sign_test,0.28167868587221034,0.14444812173201751,0.13723056414019288,0.12734464021213998,2.630866896130179e-25,97,3,100,better,paired_sign_test,3.113227023957036,1.7072159867716876,1.4060110371853485,1.664842178953487,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.649546717268745,0.9617037937652961,0.687842923503449,0.650118258869136,1.252324512538536e-22,95,5,100,better,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_3,factor_analysis,100,0.01021919885535447,0.011319262125984468,-0.0011000632706299968,-0.00043942469796417376,0.7643534344026668,48,52,100,no_clear_difference,paired_sign_test,0.11067889762258122,0.14444812173201751,-0.03376922410943628,-0.025411339773955398,4.337366633421638e-09,21,79,100,worse,paired_sign_test,0.6968682619428952,1.7072159867716876,-1.0103477248287924,-0.7502351398119982,0.2712530240738347,44,56,100,no_clear_difference,paired_sign_test,0.8093952776991498,0.9617037937652961,-0.15230851606614626,-0.15055373538887226,7.850139645593671e-05,30,70,100,worse,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_5,factor_analysis,100,0.009206840057516345,0.011319262125984468,-0.0021124220684681214,-0.0013317024843226295,0.012032975725363477,37,63,100,worse,paired_sign_test,0.08778209065942777,0.14444812173201751,-0.05666603107258975,-0.04228161174384051,3.208563668244003e-19,8,92,100,worse,paired_sign_test,0.34199243781295297,1.7072159867716876,-1.3652235489587343,-0.88709775069362,0.13321061920721333,42,58,100,no_clear_difference,paired_sign_test,0.6131280137149929,0.9617037937652961,-0.3485757800503033,-0.31662052225862614,3.208563668244003e-19,8,92,100,worse,paired_sign_test
deeplift,deeplift,ica_n_components_1,ica,100,0.014555752492475477,0.011319262125984468,0.0032364903664910075,0.002930408338378026,0.00018314322488235366,69,31,100,better,paired_sign_test,0.2193966367353351,0.14444812173201751,0.07494851500331758,0.06968364074755974,4.825421503937196e-13,85,15,100,better,paired_sign_test,3.1275731366139934,1.7072159867716876,1.4203571498423058,0.9797275263233964,0.08862608011406758,59,41,100,no_clear_difference,paired_sign_test,1.3698292346371892,0.9617037937652961,0.4081254408718934,0.35712348970827595,2.5408533354923057e-16,89,11,100,better,paired_sign_test
deeplift,deeplift,ica_n_components_3,ica,100,0.009817565099412782,0.011319262125984468,-0.0015016970265716834,-0.0006177419052820596,0.3682016173266962,45,55,100,no_clear_difference,paired_sign_test,0.10167377552762023,0.14444812173201751,-0.04277434620439728,-0.029544725724198473,6.147806615047977e-11,18,82,100,worse,paired_sign_test,0.945133033938447,1.7072159867716876,-0.7620829528332408,-0.03157850026097808,1.0,50,50,100,no_clear_difference,paired_sign_test,0.751215030267423,0.9617037937652961,-0.210488763497873,-0.1983150552716007,1.590532847378614e-08,22,78,100,worse,paired_sign_test
deeplift,deeplift,ica_n_components_5,ica,100,0.008799661585756803,0.011319262125984468,-0.002519600540227665,-0.0019286378301458958,0.0004087771674268152,32,68,100,worse,paired_sign_test,0.08646175202168965,0.14444812173201751,-0.05798636971032782,-0.04774308575156581,2.005959521923613e-21,6,94,100,worse,paired_sign_test,-0.10425323085999372,1.7072159867716876,-1.8114692176316813,-2.3692670441514734,0.03520020021770481,39,61,100,worse,paired_sign_test,0.604713087015404,0.9617037937652961,-0.35699070674989225,-0.35201307489942735,2.5408533354923057e-16,11,89,100,worse,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,100,0.014782296833737435,0.011319262125984468,0.0034630347077529667,0.0026329585291783534,4.69241261264223e-06,73,27,100,better,paired_sign_test,0.22915863570605835,0.14444812173201751,0.08471051397404088,0.0790205951312523,1.3097998650070218e-11,83,17,100,better,paired_sign_test,3.176965290643202,1.7072159867716876,1.4697493038715153,1.8871955016724287,0.056887933640980784,60,40,100,no_clear_difference,paired_sign_test,1.3936343628924217,0.9617037937652961,0.43193056912712535,0.41525702174510287,8.284451872080076e-14,86,14,100,better,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_3,kernel_pca,100,0.011909614669990534,0.011319262125984468,0.0005903525440060676,0.0007535528488940889,0.13321061920721333,58,42,100,no_clear_difference,paired_sign_test,0.1449940363120782,0.14444812173201751,0.0005459145800606551,-0.002024561536522182,0.48411841360729146,46,54,100,no_clear_difference,paired_sign_test,2.288113466748337,1.7072159867716876,0.5808974799766498,0.34386604887318584,0.48411841360729146,54,46,100,no_clear_difference,paired_sign_test,1.017636527407425,0.9617037937652961,0.055932733642129036,0.03546020585296272,0.2712530240738347,56,44,100,no_clear_difference,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_5,kernel_pca,100,0.011290992738052529,0.011319262125984468,-2.826938793193858e-05,-0.00033849684306851884,0.3682016173266962,45,55,100,no_clear_difference,paired_sign_test,0.13288043373636527,0.14444812173201751,-0.01156768799565222,-0.00923059708092238,0.056887933640980784,40,60,100,no_clear_difference,paired_sign_test,1.842924493775737,1.7072159867716876,0.13570850700404954,0.08337268338818554,0.7643534344026668,52,48,100,no_clear_difference,paired_sign_test,0.9124267197777381,0.9617037937652961,-0.04927707398755809,-0.0231520807011385,0.7643534344026668,48,52,100,no_clear_difference,paired_sign_test
