attribution_tag,attribution_name,dimred_tag,dimred_name,paired_prompt_count,soft_suff_method_mean,soft_suff_baseline_mean,soft_suff_delta_mean,soft_suff_delta_median,soft_suff_p_value,soft_suff_positive_pairs,soft_suff_negative_pairs,soft_suff_nonzero_pairs,soft_suff_direction,soft_suff_test,soft_comp_method_mean,soft_comp_baseline_mean,soft_comp_delta_mean,soft_comp_delta_median,soft_comp_p_value,soft_comp_positive_pairs,soft_comp_negative_pairs,soft_comp_nonzero_pairs,soft_comp_direction,soft_comp_test,final_suff_method_mean,final_suff_baseline_mean,final_suff_delta_mean,final_suff_delta_median,final_suff_p_value,final_suff_positive_pairs,final_suff_negative_pairs,final_suff_nonzero_pairs,final_suff_direction,final_suff_test,final_comp_method_mean,final_comp_baseline_mean,final_comp_delta_mean,final_comp_delta_median,final_comp_p_value,final_comp_positive_pairs,final_comp_negative_pairs,final_comp_nonzero_pairs,final_comp_direction,final_comp_test
deeplift,deeplift,baseline,baseline,100,0.011319262125984468,0.011319262125984468,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.14444812173201751,0.14444812173201751,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.7072159867716876,1.7072159867716876,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.9617037937652961,0.9617037937652961,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
deeplift,deeplift,factor_analysis_n_components_1,factor_analysis,100,0.015609648977425545,0.011319262125984468,0.004290386851441078,0.0034830472295313566,3.2160015295666335e-05,71,29,100,better,paired_sign_test,0.28167868587221034,0.14444812173201751,0.13723056414019288,0.12734464021213998,2.630866896130179e-25,97,3,100,better,paired_sign_test,3.113227023957036,1.7072159867716876,1.4060110371853485,1.664842178953487,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.649546717268745,0.9617037937652961,0.687842923503449,0.650118258869136,1.252324512538536e-22,95,5,100,better,paired_sign_test
deeplift,deeplift,ica_n_components_1,ica,100,0.014555752492475477,0.011319262125984468,0.0032364903664910075,0.002930408338378026,0.00018314322488235366,69,31,100,better,paired_sign_test,0.2193966367353351,0.14444812173201751,0.07494851500331758,0.06968364074755974,4.825421503937196e-13,85,15,100,better,paired_sign_test,3.1275731366139934,1.7072159867716876,1.4203571498423058,0.9797275263233964,0.08862608011406758,59,41,100,no_clear_difference,paired_sign_test,1.3698292346371892,0.9617037937652961,0.4081254408718934,0.35712348970827595,2.5408533354923057e-16,89,11,100,better,paired_sign_test
deeplift,deeplift,kernel_pca_n_components_1,kernel_pca,100,0.014782296833737435,0.011319262125984468,0.0034630347077529667,0.0026329585291783534,4.69241261264223e-06,73,27,100,better,paired_sign_test,0.22915863570605835,0.14444812173201751,0.08471051397404088,0.0790205951312523,1.3097998650070218e-11,83,17,100,better,paired_sign_test,3.176965290643202,1.7072159867716876,1.4697493038715153,1.8871955016724287,0.056887933640980784,60,40,100,no_clear_difference,paired_sign_test,1.3936343628924217,0.9617037937652961,0.43193056912712535,0.41525702174510287,8.284451872080076e-14,86,14,100,better,paired_sign_test
deeplift,deeplift,nmf_n_components_1,nmf,100,0.016716189026697775,0.011319262125984468,0.005396926900713307,0.0035413307599827045,1.8100026213029256e-07,76,24,100,better,paired_sign_test,0.21966706613017478,0.14444812173201751,0.07521894439815728,0.0653719645481663,3.322048979453653e-18,91,9,100,better,paired_sign_test,2.8966435668373207,1.7072159867716876,1.1894275800656333,1.4823494002889306,0.19334790449564246,57,43,100,no_clear_difference,paired_sign_test,1.3542644126783225,0.9617037937652961,0.39256061891302635,0.37332511083074893,1.3129815522035853e-14,87,13,100,better,paired_sign_test
deeplift,deeplift,pca_n_components_1,pca,100,0.015383026008509992,0.011319262125984468,0.0040637638825255255,0.0040801012912466085,3.2160015295666335e-05,71,29,100,better,paired_sign_test,0.2174597128252915,0.14444812173201751,0.07301159109327401,0.06175199884618543,1.3097998650070218e-11,83,17,100,better,paired_sign_test,3.5702560977878397,1.7072159867716876,1.8630401110161516,2.287707763021791,0.020978735677851718,62,38,100,better,paired_sign_test,1.3316185447502562,0.9617037937652961,0.3699147509849599,0.3575194191143377,6.147806615047977e-11,82,18,100,better,paired_sign_test
gradient_shap,gradient_shap,baseline,baseline,100,0.010541135419708336,0.010541135419708336,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.13295111180058444,0.13295111180058444,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,1.7055094831616535,1.7055094831616535,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test,0.8865982595628756,0.8865982595628756,0.0,0.0,1.0,0,0,0,no_clear_difference,paired_sign_test
gradient_shap,gradient_shap,factor_analysis_n_components_1,factor_analysis,100,0.017265167896544184,0.010541135419708336,0.006724032476835848,0.0061239563569151605,4.337366633421638e-09,79,21,100,better,paired_sign_test,0.275805775234206,0.13295111180058444,0.14285466343362158,0.13662543654789586,1.252324512538536e-22,95,5,100,better,paired_sign_test,3.75703750117691,1.7055094831616535,2.0515280180152575,1.9782007457669835,0.0004087771674268152,68,32,100,better,paired_sign_test,1.4545072148912075,0.8865982595628756,0.5679089553283317,0.6415267363488748,3.322048979453653e-18,91,9,100,better,paired_sign_test
gradient_shap,gradient_shap,ica_n_components_1,ica,100,0.014916392906694657,0.010541135419708336,0.004375257486986323,0.003861674287816558,7.850139645593671e-05,70,30,100,better,paired_sign_test,0.2308412237782629,0.13295111180058444,0.09789011197767847,0.09374963592535646,3.063290175437985e-17,90,10,100,better,paired_sign_test,3.306765426034437,1.7055094831616535,1.6012559428727837,0.956091162785421,0.056887933640980784,60,40,100,no_clear_difference,paired_sign_test,1.390210192600619,0.8865982595628756,0.5036119330377434,0.4625457651260071,3.322048979453653e-18,91,9,100,better,paired_sign_test
gradient_shap,gradient_shap,kernel_pca_n_components_1,kernel_pca,100,0.01610783445812207,0.010541135419708336,0.00556669903841373,0.0038694588265180572,3.2160015295666335e-05,71,29,100,better,paired_sign_test,0.2326822646033636,0.13295111180058444,0.09973115280277915,0.1002979385582276,2.726143732806038e-20,93,7,100,better,paired_sign_test,2.716029310258457,1.7055094831616535,1.0105198270968039,0.04925385277707228,0.7643534344026668,52,48,100,no_clear_difference,paired_sign_test,1.374510709749995,0.8865982595628756,0.4879124501871191,0.482106517348514,3.063290175437985e-17,90,10,100,better,paired_sign_test
